ext_gene,flybase_gene_id,frequency_FC0.5_wake,frequency_FC1_wake,qualifies_FC0.5_4plus,qualifies_FC1_4plus,qualifying_thresholds,source_files,is_cycling_FC0.5_wake,ZT_cyclers_FC0.5_wake,sleep_corr_exps_FC0.5_wake,wake_corr_exps_FC0.5_wake,Baseline_FC0.5_wake,MechSD3_FC0.5_wake,MechSD6_FC0.5_wake,MechSD12_FC0.5_wake,R85C10>TrpA1_FC0.5_wake,R23E10>ChR_FC0.5_wake,THIP_FC0.5_wake,is_cycling_FC1_wake,ZT_cyclers_FC1_wake,sleep_corr_exps_FC1_wake,wake_corr_exps_FC1_wake,Baseline_FC1_wake,MechSD3_FC1_wake,MechSD6_FC1_wake,MechSD12_FC1_wake,R85C10>TrpA1_FC1_wake,R23E10>ChR_FC1_wake,THIP_FC1_wake
5.8SrRNA-Psi:CR45854,FBgn0267514,4,4,TRUE,TRUE,FC0.5;FC1,FC0.5_Wake_frequency_4_n=82genes.csv;FC1_Wake_frequency_4_n=7genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=2.274",1.433,2.195,1.494,qval=0.8388,-,-,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=2.274",1.433,2.195,1.494,qval=0.8388,-,-
ATPsynF,FBgn0035032,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.0",0.775,0.664,0.535,qval=0.5291,qval=0.2631,qval=0.7275,,,,,,,,,,,
ATPsyndelta,FBgn0028342,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=0.954",0.573,0.518,0.504,qval=0.9211,qval=1.0,qval=0.7275,,,,,,,,,,,
CG11279,FBgn0036342,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.623",0.658,1.535,0.933,qval=0.3622,qval=0.9704,qval=0.7228,,,,,,,,,,,
CG11699,FBgn0030311,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.121",0.66,0.923,0.648,qval=0.6583,0.353,qval=1.0,,,,,,,,,,,
CG11752,FBgn0030292,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.25",0.983,1.038,0.773,qval=0.8554,qval=0.2114,qval=0.7275,,,,,,,,,,,
CG12384,FBgn0033624,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=0.753",0.667,1.072,0.653,qval=0.8297,0.377,qval=1.0,,,,,,,,,,,
CG13551,FBgn0040660,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=0.956",0.755,0.918,0.508,qval=0.3677,0.423,qval=0.708,,,,,,,,,,,
CG14407,FBgn0030584,5,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_5_n=14genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12,
R23E10>ChR","Peak=20, log2b=1.013",0.655,0.636,0.503,qval=0.7652,0.506,qval=1.0,,,,,,,,,,,
CG14818,FBgn0026088,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,FALSE,-,-,"MechSD3,
MechSD6,
MechSD12,
R23E10>ChR","Peak=20, log2b=1.1, qval=0.3577",0.563,0.933,0.578,qval=0.2526,0.553,qval=1.0,,,,,,,,,,,
CG1552,FBgn0030258,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,FALSE,-,-,"MechSD3,
MechSD6,
MechSD12,
R23E10>ChR","Peak=20, log2b=1.293, qval=0.3144",0.64,1.1,0.712,qval=0.3053,0.793,qval=0.9017,,,,,,,,,,,
CG17202,FBgn0038043,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,FALSE,-,-,"MechSD3,
MechSD6,
MechSD12,
R23E10>ChR","Peak=20, log2b=0.92, qval=0.0557",0.656,0.769,0.523,qval=0.6716,0.698,qval=1.0,,,,,,,,,,,
CG30197,FBgn0050197,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.43",1.138,1.448,0.794,qval=0.1827,qval=0.6487,qval=0.9325,,,,,,,,,,,
CG31248,FBgn0051248,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD6,
R85C10>TrpA1,
R23E10>ChR","Peak=20, log2b=1.487",qval=0.8657,0.54,qval=0.6148,0.747,0.655,qval=0.3209,,,,,,,,,,,
CG3337,FBgn0038871,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.022",0.663,0.919,0.582,qval=0.7349,qval=0.6136,qval=1.0,,,,,,,,,,,
CG34242,FBgn0085271,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.8",0.806,1.173,0.861,qval=0.6226,qval=0.595,qval=1.0,,,,,,,,,,,
CG34293,FBgn0085322,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=0.903",0.652,1.155,0.624,qval=0.9687,qval=0.9442,qval=0.8822,,,,,,,,,,,
