Priority Rank,Gene,flybase_gene_id,Mechanistic Category,Literature Status,Tx-Omics Evidence (Rosensweig-Shah 2026),Proposed Mechanism,Recommended Drivers,Screen Priority,fl.ai Category,fl.ai Confidence,fl.ai Rationale,Key References (PMCIDs)
1,unc79,FBgn0038693,Homeostatic / NALCN channel,Published sleep,"Consistent sleep-up (Sleep FC0.5, freq=2); fl.ai homeostatic core; sleep-upregulated after MechSD6 (log2FC=−0.64); cycles at baseline (ZT peak Z0)",NALCN auxiliary subunit; KD elevates sleep even under starvation; MB and pacemaker roles,elav-GAL4 (neurons); nsyb-GAL4 (synaptic),High,sleep; circadian,95,"Loss or knockdown of unc79 increases total sleep, impairs starvation-induced sleep suppression, and acts in mushroom body to regulate sleep; unc79 is also required in pacemaker neurons for robust circadian locomotor rhythms, with mutations causing loss of rhythmicity and reduced anticipatory activity.",PMC8496288;PMC5459923;PMC4537776;PMC3764144;PMC3818319;PMC6283151
2,SIFa,FBgn0053527,Homeostatic / Neuropeptide,Published sleep+circadian,"Consistent wake-up (FC0.5, freq=2); fl.ai sleep+circadian conf=90","SIFamide neuropeptide; coordinates energy balance, sleep, metabolism; VNC-brain feedback loops",elav-GAL4; nsyb-GAL4 (peptidergic terminals),High,sleep; circadian,90,"Multiple studies show SIFa/SIFR signaling promotes baseline sleep and sleep maintenance (activation increases sleep; loss reduces sleep). SIFa is also required for feeding:fasting circadian rhythms and links clock neurons (DN1p, PDF) to sleep and rest:activity rhythms.",PMC12396332;PMC12410877;PMC8440390;PMC6860455;PMC4012077;PMC12690271
3,rumpel,FBgn0029950,Homeostatic / Metabolic transport,Published sleep,Pos sleep history correlate; glial SLC5A transporter family; increased daytime sleep in mutants,Glial trehalose/glucose transport to neurons; links nutrient state to sleep/wake,elav-GAL4; repo-GAL4 (glia) as comparator,High,sleep; circadian,90,"Mutations and knockdown affect sleep: rumpel promotes wakefulness and mutants show increased daytime sleep. Glial RNAi causes arrhythmic locomotor activity and disrupted entrainment to light–dark cycles, implicating circadian effects.",PMC8790523;PMC5177635;PMC12064057;PMC12858066
4,AstA-R2,FBgn0039595,Homeostatic / Neuropeptide receptor,Published sleep (strong),Hist+ and Hist+/Rebound- overlap gene; pos history / neg rebound = homeostatic signature,Allatostatin-A receptor; KD in glia or dFB increases sleep; wake declines with prior sleep,elav-GAL4; nsyb-GAL4,High,sleep,90,"Multiple studies show AstA-R2 mediates wake-promoting AstA signaling (knockdown increases sleep and alters sleep architecture). Although AstA-R2 is expressed rhythmically and in clock neurons, no clear functional circadian role is reported in the provided text.",PMC12410877;PMC12419797;PMC10206085;PMC9521806;PMC7837698;PMC3152999
5,Trhn,FBgn0035187,Homeostatic / Serotonin biosynthesis,Published sleep (paper: Trh),"fl.ai homeostatic core (6-gene set); paper discusses ""Trh"" as serotonin TPH — FlyBase symbol Trhn (FBgn0035187, neuronal tryptophan hydroxylase); not in FC overlap lists",Neuronal tryptophan hydroxylase (Trhn); rate-limiting for 5-HT synthesis; paper links Trh to sleep history and rebound; distinct from trachealess (trh/FBgn0262139),elav-GAL4; nsyb-GAL4,High,sleep,80,"Literature on Drosophila Trh/TPH (FlyBase: Trhn) reports altered baseline sleep, impaired rebound, and wake-history-dependent serotonin production. Note: fl.ai pipeline mislabeled Trhn with trachealess FBgn; corrected here to FBgn0035187.",PMC12273795;PMC10761942;PMC11068357;PMC5648528;PMC4682101;PMC28377
6,RpL23,FBgn0010078,Homeostatic / Ribosome biogenesis,Transcriptomic sleep candidate; published circadian (mouse ortholog),Present in 6/7 datasets (freq=6 FC0.5); only ribosomal gene near-universal across manipulations,Large ribosomal subunit; wake-induced translation machinery; E-box/bHLH regulatory hypothesis in paper,elav-GAL4; nsyb-GAL4,High,circadian,95,"RpL23 pre-mRNA shows circadian rhythmic transcription (day/night differential expression) and this rhythmicity is lost in Cry1/Cry2 and Bmal1 knockout mice, indicating clock-dependent regulation.",PMC7658074;PMC3644253;PMC10447979;PMC3536797;PMC5317147;PMC6305622
7,na,FBgn0002917,Homeostatic / NALCN channel,Published sleep+circadian,Consistent sleep-up FC0.5; NALCN pore-forming subunit; sleep-up in MechSD6,Sodium leak channel (NALCN); pacemaker neuron requirement; arrhythmicity on loss; sleep induction on KD,elav-GAL4; nsyb-GAL4,High,circadian; sleep,95,"Strong circadian evidence: NA encodes a sodium leak channel in pacemaker neurons, developmental knockdown or mutants cause severe arrhythmic locomotor behavior and loss of neuronal rhythms, and rescue restores rhythms. Sleep evidence: na loss-of-function mutants show highly fragmented sleep/wake bouts and increased daily sleep, indicating a role in sleep regulation.",PMC5459923;PMC5127355;PMC4537776;PMC3764144;PMC3818319;PMC3385613
8,unc80,FBgn0039536,Homeostatic / NALCN channel,Published circadian,Consistent sleep-up FC0.5; co-regulated with na/unc79; sleep-up after MechSD6,NALCN regulatory subunit; severe circadian defects; coordinates with na/unc79 for leak current,elav-GAL4; nsyb-GAL4,High,circadian,95,"Multiple reports show UNC80 functions in pacemaker neurons and mutants/RNAi exhibit severe defects in circadian locomotor rhythmicity; mushroom-body-specific knockdown did not alter sleep, arguing against a direct sleep role.",PMC8496288;PMC5237213;PMC4374177;PMC4537776;PMC3818319;PMC7143536
9,BomBc2,FBgn0034331,Immune / Glial homeostasis,Published sleep,Wake FC1 (freq=3); up after MechSD 3/6/12h; glial KD reduces night sleep,Bomanin antimicrobial peptide; glial immune-sleep feedback loop; cycling astrocyte translation,repo-GAL4 (glia); elav-GAL4 for comparison,High,sleep; circadian,90,"Glial (REPO) knockdown with two independent RNAi lines decreases night sleep, increases day sleep, fragments night sleep and raises sleep latency; BomBc2 is also described as a cycling astrocyte gene with rhythmic translation.",PMC8483315
10,Mip,FBgn0036713,Neuropeptide / Sleep homeostasis,Published sleep (strong),Neg sleep history correlate; Mip-SPR-pdf pathway stabilizes sleep and rebound,Myoinhibitory peptide; acts via SPR in pdf neurons; required for sleep maintenance and homeostatic rebound,elav-GAL4; pdf-GAL4 (positive control); nsyb-GAL4,High,sleep,95,"Multiple studies in the text show Mip (myoinhibitory peptide) acts via SPR in pdf neurons to stabilize sleep and sleep homeostasis; loss or knockdown of Mip reduces total sleep, shortens sleep bouts, and eliminates rebound after deprivation.",PMC12410877;PMC11053319;PMC9257349;PMC7209998;PMC5779612;PMC4204809
